customer_id,churn
18102,0
15304,0
16709,1
12415,0
14573,0
15719,0
17856,1
17389,0
14524,0
17416,0
12524,0
13199,0
14057,0
17841,0
18041,0
17757,0
15005,0
13014,0
13694,0
12553,1
14796,0
17001,0
15220,0
17581,0
17315,1
15827,0
14911,0
13113,0
16333,1
15311,0
15358,0
13491,1
14031,0
17243,0
15465,0
18223,0
15034,1
16923,0
14701,0
14903,1
15606,0
16033,0
13263,0
17428,0
16422,0
15696,1
14504,1
15572,1
17811,0
12712,0
13881,0
12708,0
13117,1
15039,0
16013,0
17381,0
16316,0
13408,0
16356,1
13001,0
17634,1
14606,0
15498,0
15290,1
15769,0
17162,0
13092,1
12841,0
15291,0
13798,0
16782,1
13468,0
17940,0
16779,0
17419,1
16710,1
12748,0
14730,0
14560,0
13777,0
14367,0
13089,0
13854,1
16712,0
17306,0
14336,1
14507,1
17049,1
13267,1
14032,0
17450,0
14534,0
12971,0
14112,1
16525,0
14527,0
17238,0
15529,1
17770,1
14344,1
13078,0
16945,0
14085,0
15581,0
14291,0
15632,0
15838,0
17404,1
15939,0
16553,0
16359,0
14156,0
14334,1
13102,0
14713,0
18173,1
14667,0
16745,0
14854,0
13871,0
14064,1
14056,0
16558,0
17949,0
16817,0
12520,1
15513,0
13098,0
13842,1
13654,1
16652,1
16801,0
14587,0
17961,0
17975,1
14800,1
14810,1
13700,0
15547,1
14502,1
12681,0
17611,0
14180,0
15671,1
15125,0
16871,1
15159,0
12901,0
12845,1
14395,0
18118,0
12682,0
16353,1
13319,0
15061,0
15738,0
14060,0
17799,0
13082,0
17675,0
12931,1
18260,0
16293,1
17954,0
16168,0
14092,0
12779,0
15932,0
15867,0
14735,0
18144,1
16497,1
16985,1
18231,1
16029,0
17511,0
14543,0
13668,0
12437,0
15694,0
17504,1
14505,1
12955,0
15189,0
16523,0
15301,0
16839,0
12989,1
13623,1
13268,0
18198,0
14462,0
16746,1
13631,0
14298,0
13969,0
17725,0
15854,0
12471,1
12647,1
17857,0
16672,0
14194,0
16684,1
14282,0
16656,1
12474,0
17017,0
12948,1
18229,0
13911,1
15938,1
14258,1
18225,1
14217,0
17068,0
12921,0
13592,1
15140,1
12843,0
17690,0
12600,1
12428,1
13018,0
15615,0
12423,1
14688,0
15855,0
12637,1
16791,1
18008,1
17152,1
17865,0
15044,0
17613,0
14711,0
14051,0
12720,0
12613,1
17576,0
15410,0
13576,0
12683,0
17262,1
12395,0
16713,0
13534,0
15644,0
14794,1
17512,1
17644,0
13488,1
15144,1
13069,0
16700,0
15078,0
12540,0
18109,0
16458,0
15815,1
13695,0
14758,1
14646,0
17139,0
12621,0
16618,1
16931,0
12877,0
13266,0
13552,0
14410,1
12594,0
15249,1
12481,0
15874,0
16814,0
18177,1
18044,0
18226,0
13769,1
17874,0
17719,0
15129,0
15906,1
14680,0
16607,1
17364,1
14189,1
15521,1
15674,1
16218,1
17220,1
12709,0
15981,0
17677,0
17400,1
16401,0
12731,0
15856,0
13571,0
12909,1
16681,1
18037,1
17735,0
13883,1
18172,1
16609,1
16180,0
16592,0
13184,0
12949,1
16928,0
12569,0
13418,0
13767,0
13269,0
16678,1
18116,1
17758,1
17669,0
17648,1
12744,1
13015,1
16919,0
15194,0
16696,1
16161,0
14239,1
15235,1
15281,1
13752,0
17790,1
13230,1
16133,0
16837,1
12999,1
13178,0
17054,1
14227,1
13232,0
17550,1
13324,1
13549,1
13599,1
12910,1
16186,0
16843,0
16705,1
14738,1
16729,0
15046,0
16966,0
16187,0
15271,0
13317,1
12457,1
14211,1
15491,0
16226,1
15508,0
15805,0
17530,1
17061,0
16942,0
16016,1
12483,0
15622,1
16210,1
18065,0
17955,1
15987,1
12684,0
12757,0
14952,1
16266,0
17686,1
